time,stamp,node,new_parameters,changed_parameters,deleted_parameters
2023/07/03 16:50:39.241149443,"{'secs': 1688370639, 'nsecs': 240715527}",/collision_avoidance,"[{'name': 'use_sim_time', 'value': {'type': 1, 'bool_value': False, 'integer_value': 0, 'double_value': 0.0, 'string_value': '', 'byte_array_value': [], 'bool_array_value': [], 'integer_array_value': [], 'double_array_value': [], 'string_array_value': []}}]",[],[]
2023/07/03 16:50:39.243769910,"{'secs': 1688370639, 'nsecs': 243636269}",/collision_avoidance,"[{'name': 'dt', 'value': {'type': 3, 'bool_value': False, 'integer_value': 0, 'double_value': 0.1, 'string_value': '', 'byte_array_value': [], 'bool_array_value': [], 'integer_array_value': [], 'double_array_value': [], 'string_array_value': []}}]",[],[]
2023/07/03 16:50:39.243955399,"{'secs': 1688370639, 'nsecs': 243817980}",/collision_avoidance,"[{'name': 'Left_Bottom', 'value': {'type': 8, 'bool_value': False, 'integer_value': 0, 'double_value': 0.0, 'string_value': '', 'byte_array_value': [], 'bool_array_value': [], 'integer_array_value': [], 'double_array_value': [37.455842, 126.951699], 'string_array_value': []}}]",[],[]
2023/07/03 16:50:39.244095893,"{'secs': 1688370639, 'nsecs': 243985395}",/collision_avoidance,"[{'name': 'Right_Bottom', 'value': {'type': 8, 'bool_value': False, 'integer_value': 0, 'double_value': 0.0, 'string_value': '', 'byte_array_value': [], 'bool_array_value': [], 'integer_array_value': [], 'double_array_value': [37.455934, 126.951688], 'string_array_value': []}}]",[],[]
2023/07/03 16:50:39.244258328,"{'secs': 1688370639, 'nsecs': 244145957}",/collision_avoidance,"[{'name': 'Left_Top', 'value': {'type': 8, 'bool_value': False, 'integer_value': 0, 'double_value': 0.0, 'string_value': '', 'byte_array_value': [], 'bool_array_value': [], 'integer_array_value': [], 'double_array_value': [37.455834, 126.951573], 'string_array_value': []}}]",[],[]
2023/07/03 16:50:39.244422958,"{'secs': 1688370639, 'nsecs': 244309244}",/collision_avoidance,"[{'name': 'Right_Top', 'value': {'type': 8, 'bool_value': False, 'integer_value': 0, 'double_value': 0.0, 'string_value': '', 'byte_array_value': [], 'bool_array_value': [], 'integer_array_value': [], 'double_array_value': [37.455925, 126.951562], 'string_array_value': []}}]",[],[]
2023/07/03 16:50:39.244585533,"{'secs': 1688370639, 'nsecs': 244471940}",/collision_avoidance,"[{'name': 'origin', 'value': {'type': 8, 'bool_value': False, 'integer_value': 0, 'double_value': 0.0, 'string_value': '', 'byte_array_value': [], 'bool_array_value': [], 'integer_array_value': [], 'double_array_value': [37.455842, 126.951699], 'string_array_value': []}}]",[],[]
2023/07/03 16:50:39.244751165,"{'secs': 1688370639, 'nsecs': 244636319}",/collision_avoidance,"[{'name': 'waypoint', 'value': {'type': 8, 'bool_value': False, 'integer_value': 0, 'double_value': 0.0, 'string_value': '', 'byte_array_value': [], 'bool_array_value': [], 'integer_array_value': [], 'double_array_value': [37.455925, 126.951562], 'string_array_value': []}}]",[],[]
2023/07/03 16:50:39.244914081,"{'secs': 1688370639, 'nsecs': 244793003}",/collision_avoidance,"[{'name': 'tmin', 'value': {'type': 3, 'bool_value': False, 'integer_value': 0, 'double_value': 60.0, 'string_value': '', 'byte_array_value': [], 'bool_array_value': [], 'integer_array_value': [], 'double_array_value': [], 'string_array_value': []}}]",[],[]
2023/07/03 16:50:39.245064354,"{'secs': 1688370639, 'nsecs': 244953796}",/collision_avoidance,"[{'name': 'dmax', 'value': {'type': 3, 'bool_value': False, 'integer_value': 0, 'double_value': 100.0, 'string_value': '', 'byte_array_value': [], 'bool_array_value': [], 'integer_array_value': [], 'double_array_value': [], 'string_array_value': []}}]",[],[]
2023/07/03 16:50:39.245232770,"{'secs': 1688370639, 'nsecs': 245117474}",/collision_avoidance,"[{'name': 'TS_dim', 'value': {'type': 8, 'bool_value': False, 'integer_value': 0, 'double_value': 0.0, 'string_value': '', 'byte_array_value': [], 'bool_array_value': [], 'integer_array_value': [], 'double_array_value': [0.432, 0.152], 'string_array_value': []}}]",[],[]
2023/07/03 16:50:39.245391539,"{'secs': 1688370639, 'nsecs': 245280620}",/collision_avoidance,"[{'name': 'OS_dim', 'value': {'type': 8, 'bool_value': False, 'integer_value': 0, 'double_value': 0.0, 'string_value': '', 'byte_array_value': [], 'bool_array_value': [], 'integer_array_value': [], 'double_array_value': [0.914, 0.322], 'string_array_value': []}}]",[],[]
2023/07/03 16:50:39.245544617,"{'secs': 1688370639, 'nsecs': 245431494}",/collision_avoidance,"[{'name': 'alpha', 'value': {'type': 3, 'bool_value': False, 'integer_value': 0, 'double_value': 0.1, 'string_value': '', 'byte_array_value': [], 'bool_array_value': [], 'integer_array_value': [], 'double_array_value': [], 'string_array_value': []}}]",[],[]
2023/07/03 16:50:39.245705039,"{'secs': 1688370639, 'nsecs': 245592828}",/collision_avoidance,"[{'name': 'spd_lim', 'value': {'type': 8, 'bool_value': False, 'integer_value': 0, 'double_value': 0.0, 'string_value': '', 'byte_array_value': [], 'bool_array_value': [], 'integer_array_value': [], 'double_array_value': [0.9, 1.1], 'string_array_value': []}}]",[],[]
2023/07/03 16:50:39.245863837,"{'secs': 1688370639, 'nsecs': 245754532}",/collision_avoidance,"[{'name': 'heading_lim', 'value': {'type': 8, 'bool_value': False, 'integer_value': 0, 'double_value': 0.0, 'string_value': '', 'byte_array_value': [], 'bool_array_value': [], 'integer_array_value': [], 'double_array_value': [-85.0, 85.0], 'string_array_value': []}}]",[],[]
2023/07/03 16:50:39.246013218,"{'secs': 1688370639, 'nsecs': 245903161}",/collision_avoidance,"[{'name': 'ref_spd', 'value': {'type': 3, 'bool_value': False, 'integer_value': 0, 'double_value': 1.0, 'string_value': '', 'byte_array_value': [], 'bool_array_value': [], 'integer_array_value': [], 'double_array_value': [], 'string_array_value': []}}]",[],[]
2023/07/03 16:51:49.4270790,"{'secs': 1688370709, 'nsecs': 3998077}",/_ros2cli_18370,"[{'name': 'use_sim_time', 'value': {'type': 1, 'bool_value': False, 'integer_value': 0, 'double_value': 0.0, 'string_value': '', 'byte_array_value': [], 'bool_array_value': [], 'integer_array_value': [], 'double_array_value': [], 'string_array_value': []}}]",[],[]
